arbeitsort.plz;landkreis_georef;km2;einwohner;r_u_marker
Attendorn;Kreis Olpe;711,80;136.730,00;u
Attenhausen;Landkreis Rhein-Lahn-Kreis;826,60;125.539,00;u
Attenhofen;Landkreis Kelheim;1.065,49;112.953,00;r
Attenkirchen;Landkreis Freising;796,78;161.475,00;u
Attenweiler;Landkreis Biberach;1.438,69;199.051,00;r
Atting;Landkreis Straubing-Bogen;1.202,52;96.269,00;r
Atzelgift;Landkreis Altenkirchen (Westerwald);774,66;148.052,00;u
Atzlbach;Landkreis Berchtesgadener Land;840,67;100.988,00;r
Au;Landkreis Berchtesgadener Land;840,67;100.988,00;r
Au am Rhein;Landkreis Rastatt;740,00;222.539,00;u
Au i.d.Hallertau;Landkreis Freising;796,78;161.475,00;u
Aub;Landkreis Würzburg;967,41;158.217,00;u
Aubstadt;Landkreis Rhön-Grabfeld;1.017,06;80.980,00;r
Auderath;Landkreis Vulkaneifel;1.042,71;76.776,00;r
Aue;Landkreis Erzgebirgskreis;1.887,88;371.093,00;u
Auel;Landkreis Rhein-Lahn-Kreis;826,60;125.539,00;u
Auen;Landkreis Bad Kreuznach;920,86;163.452,00;u
Auengrund;Landkreis Hildburghausen;902,59;65.171,00;r
Auenwald;Landkreis Rems-Murr-Kreis;788,93;399.855,00;u
Auerbach;Landkreis Deggendorf;862,07;114.830,00;r
Auerbach i.d.OPf.;Landkreis Amberg-Sulzbach;1.255,95;104.104,00;r
Auerbach/Vogtl.;Landkreis Vogtlandkreis;1.418,85;241.143,00;u
Auerberg;Landkreis Tirschenreuth;1.084,69;75.058,00;r
Auetal;Landkreis Schaumburg;675,21;157.917,00;u
Aufhausen;Landkreis Regensburg;1.392,36;182.469,00;r
Aufseß;Landkreis Bayreuth;1.289,34;105.722,00;r
Auggen;Landkreis Breisgau-Hochschwarzwald;1.339,71;244.978,00;u
Augsburg;Kreisfreie Stadt Augsburg;148,64;267.780,00;u
Augustdorf;Kreis Lippe;1.245,05;349.348,00;u
Augustusburg;Landkreis Erzgebirgskreis;1.887,88;371.093,00;u
Auhagen;Landkreis Schaumburg;675,21;157.917,00;u
Auhausen;Landkreis Donau-Ries;1.273,90;128.113,00;r
Auhof;Landkreis Schwäbisch Hall;1.483,20;186.723,00;r
Aukrug;Kreis Rendsburg-Eckernförde;2.256,69;283.927,00;r
Auleben;Landkreis Nordhausen;712,69;87.366,00;r
Aulendorf;Landkreis Ravensburg;1.630,40;270.065,00;u
Aull;Landkreis Rhein-Lahn-Kreis;826,60;125.539,00;u
Aulosen;Landkreis Stendal;2.679,48;119.034,00;r
Auma-Weidatal;Landkreis Greiz;912,16;111.451,00;r
Aumühle;Kreis Stormarn;836,53;205.490,00;u
Aura a.d.Saale;Landkreis Bad Kissingen;1.140,11;104.137,00;r
Aura i. Sinngrund;Landkreis Main-Spessart;1.325,96;125.841,00;r
Aurach;Landkreis Ansbach;1.970,53;178.778,00;r
Aurachtal;Landkreis Erlangen-Höchstadt;561,54;127.368,00;u
Aurich;Landkreis Aurich;1.291,40;188.146,00;r
Ausacker;Kreis Schleswig-Flensburg;1.999,27;221.013,00;r
Ausleben;Landkreis Börde;3.099,16;203.092,00;r
Außernzell;Landkreis Deggendorf;862,07;114.830,00;r
Authausen;Landkreis Nordsachsen;2.030,82;201.758,00;r
Auufer;Kreis Steinburg;972,59;127.718,00;r
Auw an der Kyll;Landkreis Eifelkreis Bitburg-Prüm;1.732,70;99.234,00;r
Auw bei Prüm;Landkreis Eifelkreis Bitburg-Prüm;1.732,70;99.234,00;r
Auwies;Landkreis Freyung-Grafenau;985,64;78.573,00;r
Aventoft;Kreis Nordfriesland;2.129,66;166.100,00;r
Averlak;Kreis Dithmarschen;1.314,31;127.022,00;r
Axstedt;Landkreis Osterholz;575,30;102.259,00;u
Aying;Landkreis München;670,63;317.883,00;u
Ayl;Landkreis Trier-Saarburg;1.080,07;138.442,00;r
Aystetten;Landkreis Augsburg;1.078,84;238.845,00;u
Baabe;Landkreis Vorpommern-Rügen;3.165,67;226.652,00;r
Baar;Landkreis Vulkaneifel;1.042,71;76.776,00;r
Baar (Schwaben);Landkreis Aichach-Friedberg;779,72;126.556,00;u
Baar-Ebenhausen;Landkreis Pfaffenhofen a.d. Ilm;773,79;117.865,00;u
Baarz;Landkreis Prignitz;1.671,97;70.727,00;r
Baasdorf;Landkreis Anhalt-Bitterfeld;1.029,81;163.437,00;u
Babben;Landkreis Elbe-Elster;1.902,49;110.595,00;r
Bäbelin;Landkreis Nordwestmecklenburg;2.122,63;157.264,00;r
Baben;Landkreis Stendal;2.679,48;119.034,00;r
Babenhausen;Landkreis Darmstadt-Dieburg;658,06;282.676,00;u
Babensham;Landkreis Rosenheim;1.518,28;244.687,00;u
Babst;Landkreis Nordwestmecklenburg;2.122,63;157.264,00;r
Bach;Landkreis Berchtesgadener Land;840,67;100.988,00;r
Bach a.d.Donau;Landkreis Regensburg;1.392,36;182.469,00;r
Bacharach;Landkreis Mainz-Bingen;571,11;193.441,00;u
Bachenberg;Landkreis Altenkirchen (Westerwald);774,66;148.052,00;u
Bachhagel;Landkreis Dillingen a.d. Donau;791,86;93.455,00;r
Bächingen a.d.Brenz;Landkreis Dillingen a.d. Donau;791,86;93.455,00;r
Bachzelten;Landkreis Mühldorf a. Inn;819,66;115.808,00;r
Backnang;Landkreis Rems-Murr-Kreis;788,93;399.855,00;u
Bad Abbach;Landkreis Kelheim;1.065,49;112.953,00;r
Bad Aibling;Landkreis Rosenheim;1.518,28;244.687,00;u
Bad Alexandersbad;Landkreis Wunsiedel i. Fichtelgebirge;598,88;76.220,00;r
Bad Arolsen;Landkreis Waldeck-Frankenberg;1.908,06;163.742,00;r
Bad Bayersoien;Landkreis Garmisch-Partenkirchen;1.012,86;84.149,00;r
Bad Bellingen;Landkreis Lörrach;806,08;218.992,00;u
Bad Belzig;Landkreis Potsdam-Mittelmark;2.603,43;203.609,00;r
Bad Bentheim;Landkreis Grafschaft Bentheim;981,65;133.979,00;r
Bad Bergzabern;Landkreis Südliche Weinstraße;667,05;109.962,00;u
Bad Berka;Landkreis Weimarer Land;813,31;87.083,00;r
Bad Berleburg;Kreis Siegen-Wittgenstein;1.136,59;277.233,00;u
Bad Berneck i. Fichtelgebirge;Landkreis Bayreuth;1.289,34;105.722,00;r
Bad Bertrich;Landkreis Cochem-Zell;642,48;58.868,00;r
Bad Bevensen;Landkreis Uelzen;1.481,69;93.949,00;r
Bad Bibra;Landkreis Burgenlandkreis;1.310,85;182.743,00;r
Bad Birnbach;Landkreis Rottal-Inn;1.282,57;117.440,00;r
Bad Blankenburg;Landkreis Saalfeld-Rudolstadt;977,95;109.608,00;r
Bad Bocklet;Landkreis Bad Kissingen;1.140,11;104.137,00;r
Bad Bodenteich;Landkreis Uelzen;1.481,69;93.949,00;r
Bad Boll;Landkreis Göppingen;635,74;247.363,00;u
Bad Brambach;Landkreis Vogtlandkreis;1.418,85;241.143,00;u
Bad Bramstedt;Kreis Segeberg;1.443,50;269.392,00;u
Bad Breisig;Landkreis Ahrweiler;816,76;129.806,00;u
Bad Brückenau;Landkreis Bad Kissingen;1.140,11;104.137,00;r
Bad Buchau;Landkreis Biberach;1.438,69;199.051,00;r
Bad Camberg;Landkreis Limburg-Weilburg;737,61;170.838,00;u
Bad Ditzenbach;Landkreis Göppingen;635,74;247.363,00;u
Bad Doberan;Landkreis Rostock;3.367,72;219.050,00;r
Bad Driburg;Kreis Höxter;1.200,23;145.949,00;r
Bad Düben;Landkreis Nordsachsen;2.030,82;201.758,00;r
Bad Dürkheim;Landkreis Bad Dürkheim;661,13;147.311,00;u
Bad Dürrenberg;Landkreis Saalekreis;1.549,73;199.557,00;r
Bad Dürrheim;Landkreis Schwarzwald-Baar-Kreis;1.024,55;204.281,00;u
Bad Eilsen;Landkreis Schaumburg;675,21;157.917,00;u
Bad Elster;Landkreis Vogtlandkreis;1.418,85;241.143,00;u
Bad Ems;Landkreis Rhein-Lahn-Kreis;826,60;125.539,00;u
Bad Emstal;Landkreis Kassel;1.290,55;235.145,00;u
Bad Endbach;Landkreis Marburg-Biedenkopf;1.261,10;241.518,00;u
Bad Endorf;Landkreis Rosenheim;1.518,28;244.687,00;u
Bad Essen;Landkreis Osnabrück;2.118,81;351.437,00;u
Bad Fallingbostel;Landkreis Heidekreis;1.624,73;118.316,00;r
Bad Feilnbach;Landkreis Rosenheim;1.518,28;244.687,00;u
Bad Frankenhausen/Kyffhäuser;Landkreis Kyffhäuserkreis;1.037,58;80.236,00;r
Bad Freienwalde (Oder);Landkreis Märkisch-Oderland;2.151,55;187.656,00;r
Bad Friedrichshall;Landkreis Heilbronn;1.094,32;323.213,00;u
Bad Füssing;Landkreis Passau;1.532,86;184.986,00;r
Bad Gandersheim;Landkreis Northeim;1.268,17;137.761,00;r
Bad Gottleuba-Berggießhübel;Landkreis Sächsische Schweiz-Osterzgebirge;1.657,79;247.443,00;r
Bad Griesbach i.Rottal;Landkreis Passau;1.532,86;184.986,00;r
Bad Grönenbach;Landkreis Unterallgäu;1.228,93;135.460,00;r
Bad Grund (Harz);Landkreis Göttingen;1.676,76;317.156,00;u
Bad Harzburg;Landkreis Goslar;966,12;140.303,00;r
Bad Heilbrunn;Landkreis Bad Tölz-Wolfratshausen;1.129,24;119.328,00;r
Bad Herrenalb;Landkreis Calw;796,74;151.273,00;u
Bad Hersfeld;Landkreis Hersfeld-Rotenburg;1.096,37;120.869,00;r
Bad Hindelang;Landkreis Oberallgäu;1.526,94;149.046,00;r
Bad Homburg;Landkreis Hochtaunuskreis;481,78;226.168,00;u
Bad Honnef;Kreis Rhein-Sieg-Kreis;1.152,60;578.890,00;u
Bad Hönningen;Landkreis Neuwied;595,95;176.419,00;u
Bad Iburg;Landkreis Osnabrück;2.118,81;351.437,00;u
Bad Karlshafen;Landkreis Kassel;1.290,55;235.145,00;u
Bad Kissingen;Landkreis Bad Kissingen;1.140,11;104.137,00;r
Bad Kleinen;Landkreis Nordwestmecklenburg;2.122,63;157.264,00;r
Bad Klosterlausnitz;Landkreis Saale-Holzland-Kreis;729,06;78.732,00;r
Bad Kohlgrub;Landkreis Garmisch-Partenkirchen;1.012,86;84.149,00;r
Bad König;Landkreis Odenwaldkreis;623,44;96.763,00;u
Bad Königshofen i. Grabfeld;Landkreis Rhön-Grabfeld;1.017,06;80.980,00;r
Bad Köstritz;Landkreis Greiz;912,16;111.451,00;r
Bad Kötzting;Landkreis Cham;1.528,50;126.237,00;r
Bad Kreuznach;Landkreis Bad Kreuznach;920,86;163.452,00;u
Bad Krozingen;Landkreis Breisgau-Hochschwarzwald;1.339,71;244.978,00;u
Bad Laasphe;Kreis Siegen-Wittgenstein;1.136,59;277.233,00;u
Bad Laer;Landkreis Osnabrück;2.118,81;351.437,00;u
Bad Langensalza;Landkreis Unstrut-Hainich-Kreis;963,55;105.530,00;r
Bad Lauchstädt;Landkreis Saalekreis;1.549,73;199.557,00;r
Bad Lausick;Landkreis Leipzig;1.651,85;262.784,00;u
Bad Lauterberg im Harz;Landkreis Göttingen;1.676,76;317.156,00;u
Bad Liebenstein;Landkreis Wartburgkreis;1.360,71;131.802,00;r
Bad Liebenwerda;Landkreis Elbe-Elster;1.902,49;110.595,00;r
Bad Liebenzell;Landkreis Calw;796,74;151.273,00;u
Bad Lippspringe;Kreis Paderborn;1.245,75;295.012,00;u
Bad Lobenstein;Landkreis Saale-Orla-Kreis;1.146,29;85.837,00;r
Bad Marienberg (Westerwald);Landkreis Westerwaldkreis;896,44;189.443,00;u
Bad Mergentheim;Landkreis Main-Tauber-Kreis;1.268,66;126.991,00;r
Bad Münder am Deister;Landkreis Hameln-Pyrmont;796,92;150.473,00;u
Bad Münstereifel;Kreis Euskirchen;1.248,58;188.288,00;u
Bad Muskau;Landkreis Görlitz;2.117,33;270.663,00;r
Bad Nauheim;Landkreis Wetteraukreis;1.099,49;292.837,00;u
Bad Nenndorf;Landkreis Schaumburg;675,21;157.917,00;u
Bad Neualbenreuth;Landkreis Tirschenreuth;1.084,69;75.058,00;r
Bad Neuenahr-Ahrweiler;Landkreis Ahrweiler;816,76;129.806,00;u
Bad Neustadt a.d.Saale;Landkreis Rhön-Grabfeld;1.017,06;80.980,00;r
Bad Oeynhausen;Kreis Minden-Lübbecke;1.153,16;313.342,00;u
Bad Oldesloe;Kreis Stormarn;836,53;205.490,00;u
Bad Orb;Landkreis Main-Kinzig-Kreis;1.396,03;401.095,00;u
Bad Peterstal-Griesbach;Landkreis Ortenaukreis;1.944,82;432.903,00;u
Bad Pyrmont;Landkreis Hameln-Pyrmont;796,92;150.473,00;u
Bad Rappenau;Landkreis Heilbronn;1.094,32;323.213,00;u
Bad Reichenhall;Landkreis Berchtesgadener Land;840,67;100.988,00;r
Bad Rippoldsau-Schapbach;Landkreis Freudenstadt;782,23;93.971,00;r
Bad Rodach;Landkreis Coburg;590,35;87.833,00;r
Bad Rothenfelde;Landkreis Osnabrück;2.118,81;351.437,00;u
Bad Saarow;Landkreis Oder-Spree;2.211,53;176.547,00;r
Bad Sachsa;Landkreis Göttingen;1.676,76;317.156,00;u
Bad Säckingen;Landkreis Waldshut;1.130,54;163.394,00;r
Bad Salzdetfurth;Landkreis Hildesheim;1.207,70;277.924,00;u
Bad Salzschlirf;Landkreis Fulda;1.379,31;216.455,00;u
Bad Salzuflen;Kreis Lippe;1.245,05;349.348,00;u
Bad Salzungen;Landkreis Wartburgkreis;1.360,71;131.802,00;r
Bad Sassendorf;Kreis Soest;1.327,65;297.431,00;u
Bad Saulgau;Landkreis Biberach;1.438,69;199.051,00;r
Bad Schandau;Landkreis Sächsische Schweiz-Osterzgebirge;1.657,79;247.443,00;r
Bad Schlema;Landkreis Erzgebirgskreis;1.887,88;371.093,00;u
Bad Schmiedeberg;Landkreis Wittenberg;1.944,03;133.391,00;r
Bad Schönborn;Landkreis Karlsruhe;1.083,67;424.211,00;u
Bad Schussenried;Landkreis Biberach;1.438,69;199.051,00;r
Bad Schwalbach;Landkreis Rheingau-Taunus-Kreis;756,32;176.559,00;u
Bad Schwartau;Kreis Ostholstein;1.325,41;188.322,00;r
Bad Segeberg;Kreis Segeberg;1.443,50;269.392,00;u
Bad Sobernheim;Landkreis Bad Kreuznach;920,86;163.452,00;u
Bad Soden am Taunus;Landkreis Main-Taunus-Kreis;221,90;224.124,00;u
Bad Soden-Salmünster;Landkreis Main-Kinzig-Kreis;1.396,03;401.095,00;u
Bad Sooden-Allendorf;Landkreis Werra-Meißner-Kreis;1.024,64;102.436,00;r
Bad Staffelstein;Landkreis Lichtenfels;519,72;67.393,00;r
Bad Steben;Landkreis Hof;885,37;99.647,00;r
Bad Sulza;Landkreis Weimarer Land;813,31;87.083,00;r
Bad Sülze;Landkreis Vorpommern-Rügen;3.165,67;226.652,00;r
Bad Tabarz;Landkreis Gotha;951,39;137.259,00;r
Bad Teinach-Zavelstein;Landkreis Calw;796,74;151.273,00;u
Bad Tennstedt;Landkreis Unstrut-Hainich-Kreis;963,55;105.530,00;r
Bad Tölz;Landkreis Bad Tölz-Wolfratshausen;1.129,24;119.328,00;r
Bad Überkingen;Landkreis Göppingen;635,74;247.363,00;u
Bad Urach;Landkreis Reutlingen;1.093,24;273.540,00;u
Bad Vilbel;Landkreis Wetteraukreis;1.099,49;292.837,00;u
Bad Waldsee;Landkreis Ravensburg;1.630,40;270.065,00;u
Bad Wiessee;Landkreis Miesbach;866,56;93.835,00;r
Bad Wildbad;Landkreis Calw;796,74;151.273,00;u
Bad Wildungen;Landkreis Waldeck-Frankenberg;1.908,06;163.742,00;r
Bad Wilsnack;Landkreis Prignitz;1.671,97;70.727,00;r
Bad Wimpfen;Landkreis Heilbronn;1.094,32;323.213,00;u
Bad Windsheim;Landkreis Neustadt a.d. Aisch-Bad Windsheim;1.266,89;97.730,00;r
Bad Wörishofen;Landkreis Unterallgäu;1.228,93;135.460,00;r
Bad Wünnenberg;Kreis Paderborn;1.245,75;295.012,00;u
Bad Wurzach;Landkreis Ravensburg;1.630,40;270.065,00;u
Bad Zwesten;Landkreis Schwalm-Eder-Kreis;1.537,76;182.119,00;r
Bad Zwischenahn;Landkreis Ammerland;730,05;118.656,00;u
Badbergen;Landkreis Osnabrück;2.118,81;351.437,00;u
Baddeckenstedt;Landkreis Wolfenbüttel;718,18;120.810,00;u
Badem;Landkreis Eifelkreis Bitburg-Prüm;1.732,70;99.234,00;r
Baden-Baden;Stadtkreis Baden-Baden;140,36;52.363,00;u
Badendorf;Kreis Stormarn;836,53;205.490,00;u
Badenhard;Landkreis Rhein-Hunsrück-Kreis;991,23;103.662,00;r
Badenheim;Landkreis Bad Kreuznach;920,86;163.452,00;u
Badenweiler;Landkreis Breisgau-Hochschwarzwald;1.339,71;244.978,00;u
Badersleben;Landkreis Harz;2.113,76;239.545,00;r
Badisch Schöllenbach;Landkreis Rhein-Neckar-Kreis;972,05;509.406,00;u
Badow;Landkreis Nordwestmecklenburg;2.122,63;157.264,00;r
Baesweiler;Kreis Städteregion Aachen;707,06;539.546,00;u
Bahlingen am Kaiserstuhl;Landkreis Emmendingen;715,72;159.225,00;u
Bahnsdorf;Landkreis Elbe-Elster;1.902,49;110.595,00;r
Bahnstock;Landkreis Biberach;1.438,69;199.051,00;r
Bahrdorf;Landkreis Helmstedt;681,68;91.558,00;r
Bahrenborstel;Landkreis Diepholz;1.989,36;212.437,00;r
Bahrenfleth;Kreis Steinburg;972,59;127.718,00;r
Bahrenhof;Kreis Segeberg;1.443,50;269.392,00;u
Bahrenhorst;Landkreis Rostock;3.367,72;219.050,00;r
Bahretal;Landkreis Sächsische Schweiz-Osterzgebirge;1.657,79;247.443,00;r
Baienfurt;Landkreis Ravensburg;1.630,40;270.065,00;u
Baierbach;Landkreis Landshut;1.348,42;162.933,00;r
Baierbrunn;Landkreis München;670,63;317.883,00;u
Baierhof;Landkreis Göppingen;635,74;247.363,00;u
Baiern;Landkreis Ebersberg;566,19;135.859,00;u
Baiersbronn;Landkreis Freudenstadt;782,23;93.971,00;r
Baiersdorf;Landkreis Erlangen-Höchstadt;561,54;127.368,00;u
Baindt;Landkreis Ravensburg;1.630,40;270.065,00;u
Baisweil;Landkreis Ostallgäu;1.393,01;133.904,00;r
Bäk;Kreis Herzogtum Lauenburg;1.110,71;190.763,00;u
Bakum;Landkreis Vechta;813,61;132.757,00;u
Bälau;Kreis Herzogtum Lauenburg;1.110,71;190.763,00;u
Balderschwang;Landkreis Oberallgäu;1.526,94;149.046,00;r
Baldham;Landkreis Ebersberg;566,19;135.859,00;u
Baldringen;Landkreis Trier-Saarburg;1.080,07;138.442,00;r
Balduinstein;Landkreis Rhein-Lahn-Kreis;826,60;125.539,00;u
Balesfeld;Landkreis Eifelkreis Bitburg-Prüm;1.732,70;99.234,00;r
Balge;Landkreis Nienburg (Weser);1.399,84;122.881,00;r
Balgheim;Landkreis Tuttlingen;715,74;131.707,00;u
Balgstädt;Landkreis Saalekreis;1.549,73;199.557,00;r
Balingen;Landkreis Zollernalbkreis;916,81;185.793,00;u
Balje;Landkreis Stade;1.215,40;196.018,00;u
Ballendorf;Landkreis Alb-Donau-Kreis;1.365,44;183.722,00;r
Ballenstedt;Landkreis Harz;2.113,76;239.545,00;r
Ballerstedt;Landkreis Stendal;2.679,48;119.034,00;r
Ballhausen;Landkreis Unstrut-Hainich-Kreis;963,55;105.530,00;r
Ballrechten-Dottingen;Landkreis Breisgau-Hochschwarzwald;1.339,71;244.978,00;u
Ballstedt;Landkreis Weimarer Land;813,31;87.083,00;r
Balow;Landkreis Ludwigslust-Parchim;5.275,72;226.973,00;r
Baltmannsweiler;Landkreis Esslingen;637,44;503.095,00;u
Baltrum;Landkreis Aurich;1.291,40;188.146,00;r
Balve;Kreis Märkischer Kreis;1.060,33;424.307,00;u
Balzhausen;Landkreis Günzburg;762,17;120.355,00;u
Balzheim;Landkreis Alb-Donau-Kreis;1.365,44;183.722,00;r
Bamberg;Kreisfreie Stadt Bamberg;54,57;70.651,00;u
Bammental;Landkreis Rhein-Neckar-Kreis;972,05;509.406,00;u
Bandelin;Landkreis Vorpommern-Greifswald;3.987,01;245.914,00;r
Bandenitz;Landkreis Ludwigslust-Parchim;5.275,72;226.973,00;r
Bann;Landkreis Südwestpfalz;1.035,97;109.828,00;r
Bannberscheid;Landkreis Westerwaldkreis;896,44;189.443,00;u
Bannewitz;Landkreis Sächsische Schweiz-Osterzgebirge;1.657,79;247.443,00;r
Bantikow;Landkreis Ostprignitz-Ruppin;2.287,92;92.128,00;r
Banzenhof;Landkreis Eifelkreis Bitburg-Prüm;1.732,70;99.234,00;r
Banzkow;Landkreis Ludwigslust-Parchim;5.275,72;226.973,00;r
Barbelroth;Landkreis Südliche Weinstraße;667,05;109.962,00;u
Barbing;Landkreis Regensburg;1.392,36;182.469,00;r
Barby;Landkreis Salzlandkreis;1.433,92;205.785,00;r
Barchfeld-Immelborn;Landkreis Wartburgkreis;1.360,71;131.802,00;r
Bardowick;Landkreis Lüneburg;1.068,20;169.554,00;u
Bärenbach;Landkreis Birkenfeld;825,16;87.116,00;r
Bärenbrunnerhof;Landkreis Südwestpfalz;1.035,97;109.828,00;r
Bärenbrunnermühle;Landkreis Südwestpfalz;1.035,97;109.828,00;r
Barenburg;Landkreis Diepholz;1.989,36;212.437,00;r
Barendorf;Landkreis Lüneburg;1.068,20;169.554,00;u
Bärenhof;Landkreis Ostalbkreis;1.564,10;312.218,00;u
Bärenstein;Landkreis Erzgebirgskreis;1.887,88;371.093,00;u
Bärenthal;Landkreis Tuttlingen;715,74;131.707,00;u
Bargenstedt;Kreis Dithmarschen;1.314,31;127.022,00;r
Bargfeld-Stegen;Kreis Segeberg;1.443,50;269.392,00;u
Bargholz;Kreis Steinburg;972,59;127.718,00;r
Bargischow;Landkreis Vorpommern-Greifswald;3.987,01;245.914,00;r
Bargstall;Kreis Rendsburg-Eckernförde;2.256,69;283.927,00;r
Bargstedt;Kreis Rendsburg-Eckernförde;2.256,69;283.927,00;r
Bargteheide;Kreis Stormarn;836,53;205.490,00;u
Bargum;Kreis Nordfriesland;2.129,66;166.100,00;r
Bark;Kreis Segeberg;1.443,50;269.392,00;u
Barkelsby;Kreis Rendsburg-Eckernförde;2.256,69;283.927,00;r
Barkenholm;Kreis Dithmarschen;1.314,31;127.022,00;r
Barkhagen;Landkreis Ludwigslust-Parchim;5.275,72;226.973,00;r
Barkhorn;Kreis Schleswig-Flensburg;1.999,27;221.013,00;r
Barleben;Landkreis Börde;3.099,16;203.092,00;r
Barlt;Kreis Dithmarschen;1.314,31;127.022,00;r
Barmissen;Kreis Plön;1.155,28;145.095,00;r
Barmstedt;Kreis Pinneberg;659,48;297.751,00;u
Bärnau;Landkreis Tirschenreuth;1.084,69;75.058,00;r
Barnekow;Landkreis Nordwestmecklenburg;2.122,63;157.264,00;r
Barnin;Landkreis Ludwigslust-Parchim;5.275,72;226.973,00;r
Barnitz;Kreis Stormarn;836,53;205.490,00;u
Barnstädt;Landkreis Saalekreis;1.549,73;199.557,00;r
Barnstedt;Landkreis Lüneburg;1.068,20;169.554,00;u
Barnstorf;Landkreis Diepholz;1.989,36;212.437,00;r
Barntrup;Kreis Lippe;1.245,05;349.348,00;u
Barsbek;Kreis Plön;1.155,28;145.095,00;r
Barsbüttel;Kreis Stormarn;836,53;205.490,00;u
Barsikow;Landkreis Havelland;1.644,35;154.033,00;r
Barsinghausen;Landkreis Region Hannover;2.295,00;1.102.881,00;u
Barßel;Landkreis Cloppenburg;1.419,64;160.115,00;r
Bartenshagen-Parkentin;Landkreis Rostock;3.367,72;219.050,00;r
Bartensleben;Landkreis Börde;3.099,16;203.092,00;r
Barth;Landkreis Vorpommern-Rügen;3.165,67;226.652,00;r
Bartholomä;Landkreis Heidenheim;647,25;129.973,00;u
Bartow;Landkreis Mecklenburgische Seenplatte;5.480,97;268.858,00;r
Barum;Landkreis Lüneburg;1.068,20;169.554,00;u
Baruth / Mark;Landkreis Teltow-Fläming;2.106,69;159.818,00;r
Barver;Landkreis Diepholz;1.989,36;212.437,00;r
Bärwalde;Landkreis Teltow-Fläming;2.106,69;159.818,00;r
Barwedel;Landkreis Gifhorn;1.566,89;171.648,00;r
Barweiler;Landkreis Ahrweiler;816,76;129.806,00;u
Bärweiler;Landkreis Bad Kreuznach;920,86;163.452,00;u
Basberg;Landkreis Vulkaneifel;1.042,71;76.776,00;r
Basdahl;Landkreis Rotenburg (Wümme);2.148,82;172.747,00;r
Basdorf;Landkreis Ostprignitz-Ruppin;2.287,92;92.128,00;r
Basedow;Kreis Herzogtum Lauenburg;1.110,71;190.763,00;u
Bassenheim;Landkreis Mayen-Koblenz;628,44;193.047,00;u
Bassum;Landkreis Diepholz;1.989,36;212.437,00;r
Bastheim;Landkreis Rhön-Grabfeld;1.017,06;80.980,00;r
Basthorst;Kreis Herzogtum Lauenburg;1.110,71;190.763,00;u
Bastorf;Landkreis Rostock;3.367,72;219.050,00;r
Battenberg (Eder);Landkreis Waldeck-Frankenberg;1.908,06;163.742,00;r
Battenberg (Pfalz);Landkreis Bad Dürkheim;661,13;147.311,00;u
Battinsthal;Landkreis Vorpommern-Greifswald;3.987,01;245.914,00;r
Battweiler;Landkreis Südwestpfalz;1.035,97;109.828,00;r
Baudenbach;Landkreis Neustadt a.d. Aisch-Bad Windsheim;1.266,89;97.730,00;r
Bauerkuhl;Landkreis Ludwigslust-Parchim;5.275,72;226.973,00;r
Bauler;Landkreis Ahrweiler;816,76;129.806,00;u
Baumgarten;Landkreis Rostock;3.367,72;219.050,00;r
Baumholder;Landkreis Birkenfeld;825,16;87.116,00;r
Baunach;Landkreis Bamberg;1.167,23;143.775,00;r
Baunatal;Landkreis Kassel;1.290,55;235.145,00;u
Bausendorf;Landkreis Bernkastel-Wittlich;1.090,26;112.068,00;r
Baustert;Landkreis Eifelkreis Bitburg-Prüm;1.732,70;99.234,00;r
Bautzen;Landkreis Bautzen;2.402,14;316.006,00;r
Bawinkel;Landkreis Emsland;2.882,18;312.236,00;r
Bayerbach;Landkreis Rottal-Inn;1.282,57;117.440,00;r
Bayerbach b. Ergoldsbach;Landkreis Landshut;1.348,42;162.933,00;r
Bayerfeld-Steckweiler;Landkreis Donnersbergkreis;705,66;80.477,00;r
Bayerisch Eisenstein;Landkreis Regen;976,16;77.066,00;r
Bayerisch Gmain;Landkreis Berchtesgadener Land;840,67;100.988,00;r
Bayreuth;Kreisfreie Stadt Bayreuth;66,55;70.831,00;u
Bayrischzell;Landkreis Miesbach;866,56;93.835,00;r
Bebensee;Kreis Segeberg;1.443,50;269.392,00;u
Bebertal;Landkreis Börde;3.099,16;203.092,00;r
Beblinstetten;Landkreis Unterallgäu;1.228,93;135.460,00;r
Bebra;Landkreis Hersfeld-Rotenburg;1.096,37;120.869,00;r
Becheln;Landkreis Rhein-Lahn-Kreis;826,60;125.539,00;u
Bechenheim;Landkreis Alzey-Worms;591,37;125.821,00;u
Becherbach;Landkreis Bad Kreuznach;920,86;163.452,00;u
Bechhofen;Landkreis Ansbach;1.970,53;178.778,00;r
Bechstedt;Landkreis Saalfeld-Rudolstadt;977,95;109.608,00;r
Bechtheim;Landkreis Alzey-Worms;591,37;125.821,00;u
Bechtolsheim;Landkreis Alzey-Worms;591,37;125.821,00;u
